iter	Passed	Remaining
754	21744	7056
755	21747	7019
756	21798	6997
757	21801	6960
758	21899	6953
759	21938	6928
760	21941	6890
761	21944	6854
762	21991	6830
763	22037	6807
764	22051	6774
765	22106	6753
766	22124	6720
767	22127	6684
768	22223	6675
769	22227	6639
770	22306	6625
771	22309	6588
772	22400	6578
773	22404	6541
774	22531	6541
775	22564	6513
776	22567	6476
777	22570	6440
778	22643	6424
779	22647	6387
780	22765	6383
781	22817	6360
782	22820	6324
783	22889	6306
784	23000	6299
785	23003	6262
786	23072	6244
787	23083	6210
788	23174	6197
789	23214	6170
790	23219	6135
791	23499	6171
792	23502	6134
793	23504	6098
794	23507	6061
795	23509	6025
796	23511	5988
797	23608	5976
798	23612	5939
799	23686	5921
800	23737	5897
801	23741	5861
802	23778	5833
803	23781	5797
804	23797	5764
805	23800	5728
806	23804	5692
807	23806	5656
808	23808	5621
809	23810	5585
810	23813	5549
811	23816	5514
812	23818	5478
813	23822	5443
814	23853	5414
815	23857	5379
816	23861	5344
817	23891	5315
818	24011	5306
819	24016	5271
820	24097	5253
821	24100	5218
822	24138	5191
823	24198	5168
824	24201	5133
825	24212	5100
826	24215	5065
827	24226	5032
828	24281	5008
829	24285	4974
830	24311	4944
831	24313	4909
832	24316	4875
833	24320	4840
834	24329	4807
835	24331	4773
836	24334	4738
837	24376	4712
838	24378	4678
839	24380	4643
840	24382	4609
841	24402	4579
842	24428	4549
843	24431	4515
844	24458	4486
845	24502	4460
846	24547	4434
847	24571	4404
848	24575	4370
849	24599	4341
850	24601	4307
851	24603	4273
852	24606	4240
853	24608	4207
854	24610	4173
855	24613	4140
856	24642	4111
857	24645	4078
858	24647	4045
859	24658	4014
860	24671	3983
861	24674	3950
862	24682	3918
863	24684	3885
864	24686	3852
865	24688	3820
866	24711	3790
867	24720	3759
868	24740	3729
869	24742	3697
870	24745	3664
871	24748	3632
872	24750	3600
873	24753	3568
874	24755	3536
875	24756	3504
876	24758	3472
877	24760	3440
878	24763	3408
879	24766	3377
880	24769	3345
881	24771	3314
882	24784	3283
883	24786	3252
884	24788	3221
885	24790	3189
886	24792	3158
887	24793	3127
888	24795	3095
889	24797	3064
890	24799	3033
891	24802	3002
892	24804	2972
893	24805	2941
894	24807	2910
895	24808	2879
896	24810	2848
897	24812	2818
898	24814	2787
899	24816	2757
900	24817	2726
901	24819	2696
902	24821	2666
903	24829	2636
904	24831	2606
905	24843	2577
906	24844	2547
907	24846	2517
908	24853	2488
909	24855	2458
910	24857	2428
911	24859	2398
912	24861	2369
913	24864	2339
914	24866	2309
915	24867	2280
916	24870	2251
917	24872	2221
918	24873	2192
919	24875	2163
920	24876	2133
