Mon Mar 20 16:43:06 2023    profile_results_base.prof

         45452990 function calls (44306479 primitive calls) in 47.028 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      459    0.001    0.000    0.376    0.001 dataset_ops.py:736(from_tensor_slices)
      459    0.007    0.000    0.374    0.001 dataset_ops.py:4706(__init__)
    95722    0.308    0.000    0.374    0.000 generic.py:233(__init__)
     4132    0.008    0.000    0.373    0.000 tokenize.py:238(untokenize)
193552/192623    0.097    0.000    0.372    0.000 {built-in method builtins.all}
   151684    0.067    0.000    0.370    0.000 tokenize.py:147(_compile)
    11965    0.035    0.000    0.369    0.000 missing.py:381(array_equivalent)
     7344    0.030    0.000    0.367    0.000 dtypes.py:510(validate_categories)
   247617    0.171    0.000    0.362    0.000 common.py:1578(_is_dtype_type)
      459    0.001    0.000    0.359    0.001 array_ops.py:63(reshape)
     8262    0.057    0.000    0.355    0.000 multi.py:299(__new__)
     1378    0.018    0.000    0.348    0.000 function.py:577(__init__)
      459    0.002    0.000    0.347    0.001 gen_array_ops.py:8462(reshape)
     4131    0.009    0.000    0.345    0.000 expr.py:450(_maybe_transform_eq_ne)
    50227    0.016    0.000    0.345    0.000 managers.py:158(blknos)
    98429    0.345    0.000    0.345    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3672    0.107    0.000    0.341    0.000 algorithms.py:439(isin)
     3672    0.004    0.000    0.339    0.000 dataset_ops.py:4380(__init__)
      459    0.007    0.000    0.335    0.001 generic.py:832(count)
      459    0.003    0.000    0.333    0.001 3754886086.py:19(<lambda>)
      919    0.013    0.000    0.331    0.000 concat.py:315(__init__)
   125961    0.234    0.000    0.329    0.000 series.py:577(name)
67586/59309    0.072    0.000    0.328    0.000 {built-in method builtins.any}
   109779    0.064    0.000    0.327    0.000 base.py:263(is_dtype)
     1378    0.036    0.000    0.327    0.000 function.py:331(__init__)
      919    0.008    0.000    0.326    0.000 concat.py:481(get_result)
    56495    0.106    0.000    0.321    0.000 blocks.py:1890(get_block_type)
    30295    0.057    0.000    0.320    0.000 algorithms.py:103(_ensure_data)
    28923    0.220    0.000    0.320    0.000 {pandas._libs.lib.infer_dtype}
    14705    0.046    0.000    0.319    0.000 ops.py:2678(get_attr)
      459    0.003    0.000    0.319    0.001 gen_math_ops.py:7702(_range)
11480/6428    0.029    0.000    0.316    0.000 trace_type_builder.py:81(from_object)
    10098    0.007    0.000    0.307    0.000 <__array_function__ internals>:2(insert)
      459    0.002    0.000    0.306    0.001 merge.py:944(_get_join_info)
      459    0.001    0.000    0.303    0.001 base.py:198(join)
   151686    0.033    0.000    0.303    0.000 re.py:234(compile)
      459    0.006    0.000    0.303    0.001 base.py:3918(join)
     2754    0.004    0.000    0.302    0.000 base.py:5261(get_indexer_for)
    28917    0.016    0.000    0.298    0.000 expr.py:166(<genexpr>)
     2295    0.002    0.000    0.298    0.000 arraylike.py:98(__sub__)
    55742    0.077    0.000    0.297    0.000 base.py:3317(get_loc)
    13800    0.050    0.000    0.295    0.000 func_graph.py:510(inner_cm)
   130182    0.073    0.000    0.294    0.000 contextlib.py:237(helper)
      459    0.008    0.000    0.290    0.001 gen_dataset_ops.py:7835(tensor_slice_dataset)
    79899    0.030    0.000    0.290    0.000 base.py:6279(ensure_index)
      459    0.004    0.000    0.289    0.001 groupby.py:1315(_python_agg_general)
130182/107177    0.099    0.000    0.286    0.000 contextlib.py:116(__exit__)
     1377    0.007    0.000    0.285    0.000 generic.py:4860(_reindex_with_indexers)
     4132    0.082    0.000    0.282    0.000 tensor_util.py:358(make_tensor_proto)
    17470    0.062    0.000    0.282    0.000 ops.py:4196(_get_op_def)
    59703    0.115    0.000    0.281    0.000 _dtype.py:321(_name_get)
     5049    0.019    0.000    0.278    0.000 managers.py:2018(_fast_count_smallints)
     2295    0.002    0.000    0.277    0.000 arraylike.py:114(__truediv__)
     6900    0.015    0.000    0.276    0.000 func_graph.py:507(as_default)
      918    0.004    0.000    0.276    0.000 gen_dataset_ops.py:7757(tensor_dataset)
    14688    0.021    0.000    0.275    0.000 ops.py:91(__init__)
    61130    0.041    0.000    0.274    0.000 {method 'any' of 'numpy.ndarray' objects}
    10098    0.104    0.000    0.273    0.000 function_base.py:4567(insert)
    38566    0.021    0.000    0.273    0.000 config.py:242(__call__)
     3213    0.007    0.000    0.272    0.000 frame.py:1218(iterrows)
   975560    0.241    0.000    0.272    0.000 {built-in method builtins.hasattr}
   151755    0.165    0.000    0.270    0.000 re.py:273(_compile)
    49600    0.087    0.000    0.268    0.000 construction.py:673(_try_cast)
     8724    0.057    0.000    0.267    0.000 managers.py:1981(_merge_blocks)
      918    0.001    0.000    0.265    0.000 series.py:5434(where)
     1838    0.009    0.000    0.264    0.000 generic.py:3937(__delitem__)
      918    0.002    0.000    0.263    0.000 generic.py:8882(where)
   170581    0.262    0.000    0.262    0.000 {method 'match' of 're.Pattern' objects}
      918    0.011    0.000    0.261    0.000 generic.py:8744(_where)
