label,precision,recall,f_score,true_sum,learning_rate,epoch,threshold
1,1.0,0.0,0.0,872.0,1e-05,6,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,6,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,6,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,6,0.8
1,1.0,0.0,0.0,872.0,1e-05,6,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,6,0.9
1,1.0,0.0,0.0,872.0,1e-05,6,0.9
0,0.9758468825305376,0.9999716167120799,0.9877619681783136,35232.0,1e-05,7,0.1
1,0.0,0.0,0.0,872.0,1e-05,7,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.2
1,1.0,0.0,0.0,872.0,1e-05,7,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,7,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.4
1,1.0,0.0,0.0,872.0,1e-05,7,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.5
1,1.0,0.0,0.0,872.0,1e-05,7,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.6
1,1.0,0.0,0.0,872.0,1e-05,7,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,7,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.8
1,1.0,0.0,0.0,872.0,1e-05,7,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,7,0.9
1,1.0,0.0,0.0,872.0,1e-05,7,0.9
0,0.9760577056457206,0.9985808356039964,0.9871908189177434,35232.0,1e-05,8,0.1
1,0.15254237288135594,0.010321100917431193,0.01933404940923738,872.0,1e-05,8,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.2
1,1.0,0.0,0.0,872.0,1e-05,8,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,8,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.4
1,1.0,0.0,0.0,872.0,1e-05,8,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.5
1,1.0,0.0,0.0,872.0,1e-05,8,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.6
1,1.0,0.0,0.0,872.0,1e-05,8,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,8,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.8
1,1.0,0.0,0.0,872.0,1e-05,8,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,8,0.9
1,1.0,0.0,0.0,872.0,1e-05,8,0.9
0,0.9765289624797904,0.9943233424159855,0.9853458217309369,35232.0,1e-05,9,0.1
1,0.13043478260869565,0.034403669724770644,0.054446460980036304,872.0,1e-05,9,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.2
1,1.0,0.0,0.0,872.0,1e-05,9,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,9,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.4
1,1.0,0.0,0.0,872.0,1e-05,9,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.5
1,1.0,0.0,0.0,872.0,1e-05,9,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.6
1,1.0,0.0,0.0,872.0,1e-05,9,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,9,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.8
1,1.0,0.0,0.0,872.0,1e-05,9,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,9,0.9
1,1.0,0.0,0.0,872.0,1e-05,9,0.9
0,0.9772906127037662,0.9869436875567665,0.982093430492007,35232.0,1e-05,10,0.1
1,0.12213740458015267,0.07339449541284404,0.09169054441260745,872.0,1e-05,10,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.2
1,1.0,0.0,0.0,872.0,1e-05,10,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,10,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.4
1,1.0,0.0,0.0,872.0,1e-05,10,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.5
1,1.0,0.0,0.0,872.0,1e-05,10,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.6
1,1.0,0.0,0.0,872.0,1e-05,10,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,10,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.8
1,1.0,0.0,0.0,872.0,1e-05,10,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,10,0.9
1,1.0,0.0,0.0,872.0,1e-05,10,0.9
0,0.9783295839621836,0.9751362397820164,0.9767303017811199,35232.0,1e-05,11,0.1
1,0.11246200607902736,0.12729357798165136,0.11941904249596558,872.0,1e-05,11,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.2
1,1.0,0.0,0.0,872.0,1e-05,11,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,11,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.4
1,1.0,0.0,0.0,872.0,1e-05,11,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.5
1,1.0,0.0,0.0,872.0,1e-05,11,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.6
1,1.0,0.0,0.0,872.0,1e-05,11,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,11,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.8
1,1.0,0.0,0.0,872.0,1e-05,11,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,11,0.9
1,1.0,0.0,0.0,872.0,1e-05,11,0.9
0,0.9791529073941134,0.9678417347865577,0.9734644646502135,35232.0,1e-05,12,0.1
1,0.11415168100078187,0.16743119266055045,0.13575081357508134,872.0,1e-05,12,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.2
1,1.0,0.0,0.0,872.0,1e-05,12,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,12,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.4
1,1.0,0.0,0.0,872.0,1e-05,12,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.5
1,1.0,0.0,0.0,872.0,1e-05,12,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.6
1,1.0,0.0,0.0,872.0,1e-05,12,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,12,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.8
1,1.0,0.0,0.0,872.0,1e-05,12,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,12,0.9
1,1.0,0.0,0.0,872.0,1e-05,12,0.9
0,0.9796746788831222,0.959014532243415,0.9692345204457767,35232.0,1e-05,13,0.1
1,0.10588235294117647,0.19610091743119265,0.13751507840772015,872.0,1e-05,13,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.2
1,1.0,0.0,0.0,872.0,1e-05,13,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,13,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.4
1,1.0,0.0,0.0,872.0,1e-05,13,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.5
1,1.0,0.0,0.0,872.0,1e-05,13,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.6
1,1.0,0.0,0.0,872.0,1e-05,13,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,13,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.8
1,1.0,0.0,0.0,872.0,1e-05,13,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,13,0.9
1,1.0,0.0,0.0,872.0,1e-05,13,0.9
0,0.9801706315697523,0.9554382379654859,0.9676464247215235,35232.0,1e-05,14,0.1
1,0.1084611016467916,0.2190366972477064,0.14508165590581085,872.0,1e-05,14,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.2
1,1.0,0.0,0.0,872.0,1e-05,14,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,14,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.4
1,1.0,0.0,0.0,872.0,1e-05,14,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.5
1,1.0,0.0,0.0,872.0,1e-05,14,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.6
1,1.0,0.0,0.0,872.0,1e-05,14,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,14,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.8
1,1.0,0.0,0.0,872.0,1e-05,14,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,14,0.9
1,1.0,0.0,0.0,872.0,1e-05,14,0.9
0,0.9804763992400993,0.9521741598546776,0.9661180468558757,35232.0,1e-05,15,0.1
1,0.10799364743250398,0.23394495412844038,0.1477725461789207,872.0,1e-05,15,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.2
1,1.0,0.0,0.0,872.0,1e-05,15,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,15,0.30000000000000004
